20 100
1 184
2 4
3 288
4 14
5 241
6 223
7 16
8 225
9 70
10 154
11 345
12 284
13 227
14 69
15 12
16 169
17 171
18 307
19 195
20 8
10 20 19
15 19 17
3 11 32
2 15 17
9 20 19
11 17 47
8 14 18
5 15 23
1 10 18
8 18 41
3 17 27
6 11 36
17 19 48
12 20 24
13 17 24
7 12 23
3 20 13
1 16 17
5 19 47
1 19 5
13 18 11
3 7 29
5 10 21
5 9 2
14 16 50
13 19 21
3 12 47
5 12 8
9 19 15
1 13 21
1 2 32
10 18 4
4 19 32
16 19 34
7 15 48
1 6 23
2 17 15
10 19 1
11 16 13
4 12 10
10 15 42
2 9 34
9 12 13
14 19 16
9 11 12
4 6 48
7 20 28
15 20 46
6 7 50
16 20 7
4 13 44
13 15 33
10 12 41
7 9 20
2 7 27
3 14 15
5 20 13
2 12 12
8 9 38
4 16 13
2 3 39
3 13 17
1 18 37
14 18 9
12 18 33
3 15 23
12 13 25
15 17 16
6 13 28
9 18 20
8 19 21
2 6 16
6 20 4
6 9 6
4 7 15
7 19 26
7 13 27
4 9 37
3 9 20
8 11 3
5 18 4
7 14 30
10 13 11
14 17 41
9 17 14
11 12 24
5 7 11
1 3 45
7 11 24
3 4 49
17 20 10
7 10 17
11 14 26
6 10 13
6 16 15
5 16 33
2 19 1
1 11 1
6 15 5
2 5 26
