50 250
1 114
2 200
3 165
4 329
5 76
6 241
7 354
8 5
9 216
10 186
11 221
12 197
13 81
14 132
15 3
16 49
17 47
18 5
19 342
20 347
21 13
22 374
23 158
24 82
25 246
26 199
27 4
28 2
29 44
30 84
31 87
32 70
33 327
34 48
35 243
36 102
37 362
38 68
39 268
40 86
41 51
42 15
43 65
44 127
45 206
46 280
47 325
48 222
49 21
50 312
24 41 39
31 32 34
25 32 26
27 49 41
3 16 31
4 49 9
16 35 23
32 50 17
22 45 17
38 41 26
29 41 36
32 33 9
17 45 10
35 47 7
22 43 33
24 30 38
22 30 35
12 13 50
26 45 25
12 41 49
20 46 38
4 43 12
42 46 44
31 33 22
16 40 26
19 20 48
20 45 6
19 49 15
9 32 14
4 36 35
29 37 24
14 16 31
23 30 4
6 28 32
39 47 4
6 16 43
33 37 29
30 33 4
23 44 15
1 34 5
12 44 1
35 38 3
31 38 9
19 45 50
18 48 48
28 45 16
11 44 38
16 38 23
39 44 2
33 35 25
8 32 28
29 35 24
8 29 32
1 38 42
11 26 6
7 32 15
2 6 10
4 21 28
25 30 6
31 50 46
9 31 4
41 43 24
23 41 48
16 50 25
10 43 1
19 47 11
47 48 19
48 49 16
17 50 42
4 47 23
29 44 35
21 44 33
11 31 35
7 41 25
36 44 42
11 36 24
22 39 3
8 25 37
22 37 27
8 14 16
15 39 16
45 49 38
8 16 6
17 47 24
19 35 5
13 49 3
37 38 2
23 33 11
1 25 14
19 30 31
22 29 1
13 17 10
6 27 28
16 24 27
3 5 9
18 23 18
16 20 2
11 12 20
12 42 9
21 37 50
26 29 24
11 24 9
10 46 21
11 22 15
7 20 8
13 26 44
2 37 48
10 38 10
2 16 4
4 39 8
48 50 28
16 19 42
15 42 21
2 27 12
18 36 49
3 14 39
2 20 23
3 23 42
5 42 21
26 50 4
5 45 8
21 23 45
16 32 33
7 26 24
13 39 2
5 21 24
15 21 2
30 31 22
5 6 38
14 32 16
13 46 6
26 40 16
27 46 4
35 40 23
6 9 33
19 24 10
14 19 7
42 45 35
7 19 28
40 50 25
14 29 3
1 41 43
17 28 20
24 50 44
5 25 38
28 30 48
7 36 19
9 50 10
1 10 16
14 37 48
5 15 49
1 5 28
10 29 42
21 25 15
44 47 22
23 37 11
37 48 25
6 47 31
21 39 29
10 40 23
27 48 7
6 8 19
13 21 12
39 43 28
12 14 24
6 29 2
36 50 45
2 38 32
23 28 48
4 48 5
6 13 33
30 45 20
38 45 41
20 42 15
10 48 7
7 45 47
17 20 24
16 18 13
15 25 23
3 9 8
28 33 34
18 25 37
19 42 10
21 24 45
33 49 33
8 47 29
28 29 44
8 35 19
9 29 49
37 50 27
12 31 14
17 24 41
3 41 47
30 50 39
7 11 47
3 22 43
34 44 5
14 17 9
4 29 32
3 4 20
15 44 48
13 28 31
21 27 43
7 43 12
11 13 15
32 41 34
6 38 6
1 3 50
3 34 44
8 37 26
5 36 14
41 44 36
11 50 11
7 34 1
20 41 38
18 21 42
3 15 13
7 22 27
26 41 13
13 36 26
29 33 41
1 50 20
33 36 46
25 50 20
17 46 21
1 21 30
12 20 25
1 16 3
14 26 10
4 32 43
7 38 13
4 8 3
21 45 13
21 34 34
40 41 45
1 13 2
13 29 1
1 42 11
38 42 22
30 44 19
18 50 11
42 50 23
2 17 7
13 14 37
9 33 46
7 24 3
28 48 32
2 39 31
38 40 34
17 21 29
