100 150
1 104
2 16
3 31
4 60
5 70
6 31
7 93
8 105
9 97
10 20
11 83
12 38
13 64
14 85
15 61
16 48
17 20
18 59
19 13
20 89
21 107
22 38
23 48
24 18
25 105
26 29
27 13
28 16
29 44
30 58
31 75
32 103
33 105
34 77
35 31
36 37
37 32
38 32
39 75
40 112
41 107
42 41
43 98
44 55
45 99
46 54
47 77
48 3
49 41
50 70
51 39
52 94
53 3
54 94
55 82
56 17
57 66
58 24
59 95
60 81
61 95
62 109
63 81
64 80
65 60
66 24
67 11
68 96
69 94
70 109
71 7
72 77
73 80
74 71
75 45
76 39
77 112
78 84
79 24
80 38
81 66
82 2
83 100
84 65
85 20
86 76
87 22
88 63
89 45
90 26
91 54
92 58
93 33
94 96
95 32
96 3
97 25
98 48
99 102
100 79
49 99 45
66 80 34
45 88 21
19 37 48
10 15 28
3 23 11
99 100 11
4 77 45
15 83 27
21 80 50
12 77 28
51 100 22
3 100 7
73 88 21
72 99 11
3 29 49
11 71 8
9 65 42
44 92 34
6 91 11
42 82 3
67 68 43
24 68 17
83 98 38
34 93 18
19 69 46
7 81 17
41 69 33
2 42 33
54 58 44
15 64 49
42 51 34
39 93 9
51 78 4
90 92 31
78 91 22
62 92 7
64 69 23
1 10 20
21 34 22
7 91 30
44 63 9
9 57 49
4 9 8
56 63 26
27 79 30
81 92 18
25 60 28
11 36 5
78 86 3
71 73 42
49 85 16
69 81 18
57 84 27
4 45 24
42 75 31
10 97 50
63 83 26
57 59 37
55 98 46
1 41 7
1 62 16
23 52 40
39 62 38
90 95 26
35 40 16
31 51 10
13 68 33
33 64 32
71 88 4
69 76 17
13 23 16
22 50 32
26 95 26
43 53 40
5 60 39
74 93 11
63 79 15
8 16 47
85 89 8
2 12 30
87 100 47
32 38 24
2 37 32
9 56 39
67 90 36
50 72 39
23 84 50
41 99 25
62 83 29
59 74 22
5 81 10
35 94 33
60 67 48
62 100 45
2 4 45
31 98 9
15 29 40
31 67 23
26 47 36
3 77 33
17 36 1
12 66 37
57 63 35
52 92 26
41 87 30
55 77 10
30 40 20
52 88 38
28 47 37
70 78 17
22 36 27
1 59 37
25 87 33
84 92 9
25 32 42
50 86 45
30 47 18
43 84 17
34 88 46
37 100 49
20 38 39
29 83 36
20 35 19
70 93 25
10 40 33
34 59 35
37 70 1
44 99 12
1 48 1
60 97 38
58 97 13
29 74 8
13 36 31
28 66 1
34 62 18
2 41 9
15 40 15
38 67 36
73 100 14
51 89 45
50 60 44
75 92 28
17 20 13
10 63 29
27 34 35
53 84 18
30 53 41
47 81 3
31 52 15
