50 175
1 206
2 76
3 204
4 67
5 212
6 138
7 3
8 216
9 10
10 181
11 167
12 12
13 168
14 53
15 116
16 258
17 212
18 170
19 52
20 9
21 127
22 128
23 230
24 146
25 6
26 98
27 86
28 163
29 86
30 100
31 243
32 92
33 117
34 94
35 212
36 139
37 189
38 251
39 125
40 124
41 120
42 65
43 85
44 247
45 26
46 58
47 148
48 105
49 6
50 261
21 30 21
35 47 47
22 26 8
10 14 15
16 50 21
13 26 32
6 8 4
38 49 32
14 16 34
7 16 48
39 48 23
8 32 15
6 49 1
33 36 13
42 46 10
25 29 42
17 23 34
4 17 13
8 35 16
13 50 12
5 29 48
19 22 28
17 36 46
10 40 50
3 8 7
26 43 44
8 33 33
14 27 41
2 45 20
5 37 27
34 44 15
29 45 13
29 49 12
4 21 38
12 13 13
7 37 39
30 32 17
38 41 37
25 46 9
14 15 33
15 31 23
22 45 25
16 21 16
19 46 28
4 15 20
14 49 21
4 38 16
10 31 4
15 22 6
8 17 15
17 46 26
17 32 27
9 21 37
6 23 20
2 47 3
5 41 4
20 26 30
34 47 11
41 42 41
11 44 14
17 34 24
24 31 11
35 42 45
34 40 24
7 50 49
21 41 10
22 42 17
33 45 26
11 49 13
32 46 15
22 28 33
26 29 1
13 16 1
13 24 5
17 48 26
3 18 24
23 28 48
49 50 48
31 44 37
31 42 8
4 5 26
2 6 4
16 28 37
1 14 49
6 9 22
22 27 41
5 14 28
23 47 33
42 48 19
2 43 13
16 25 37
15 27 2
26 34 23
23 48 45
7 17 19
26 30 41
14 24 8
14 39 14
13 23 27
27 28 46
11 39 43
4 46 4
38 47 37
1 26 49
15 37 30
4 12 19
3 30 45
39 44 31
5 17 43
19 37 27
36 41 41
7 43 18
10 36 30
21 43 6
30 35 49
9 33 1
23 24 40
31 43 47
10 17 11
17 18 47
11 46 2
34 46 31
4 34 45
7 19 7
2 18 16
2 7 24
17 39 13
6 22 12
28 48 21
15 32 40
5 33 34
2 22 47
14 50 31
39 43 29
6 13 6
24 42 11
19 26 30
41 49 2
1 9 1
2 39 21
28 38 47
36 44 32
15 38 3
44 46 3
6 16 5
6 36 42
13 22 7
19 38 44
9 18 25
26 41 32
27 39 43
8 42 10
25 35 46
6 21 39
8 11 47
16 29 37
36 42 16
10 45 13
5 50 38
7 11 15
35 38 2
30 43 5
14 44 41
15 26 2
25 36 4
41 43 25
5 24 46
21 23 40
11 48 26
18 46 29
1 7 10
25 27 36
20 47 24
8 34 21
24 43 4
